,index,Book-Title,ratings-Count,average rating,Book-Author,Image-URL-M
0,0,Harry Potter and the Prisoner of Azkaban (Book 3),428,5.852803738317757,J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
1,1,Harry Potter and the Goblet of Fire (Book 4),387,5.8242894056847545,J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
2,2,Harry Potter and the Sorcerer's Stone (Book 1),278,5.737410071942446,J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
3,3,Harry Potter and the Order of the Phoenix (Book 5),347,5.501440922190202,J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
4,4,Harry Potter and the Chamber of Secrets (Book 2),556,5.183453237410072,J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
5,5,The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,5.00711743772242,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
6,6,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,4.948369565217392,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
7,7,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.895652173913043,J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
8,8,"The Two Towers (The Lord of the Rings, Part 2)",260,4.880769230769231,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
9,9,To Kill a Mockingbird,510,4.7,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
10,10,The Da Vinci Code,898,4.642538975501114,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
11,11,The Five People You Meet in Heaven,430,4.551162790697674,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
12,12,The Catcher in the Rye,449,4.5456570155902005,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
